graph_id,node_index,x,y
sky130_fd_sc_hd__a2111oi_1,0,3.1025,0.2375
sky130_fd_sc_hd__a2111oi_1,1,2.6925,0.2375
sky130_fd_sc_hd__a2111oi_1,2,1.9525,0.2375
sky130_fd_sc_hd__a2111oi_1,3,1.4325,0.2375
sky130_fd_sc_hd__a2111oi_1,4,0.8975,0.2375
sky130_fd_sc_hd__a2111oi_1,5,3.1075,1.4875
sky130_fd_sc_hd__a2111oi_1,6,2.6825,1.4875
sky130_fd_sc_hd__a2111oi_1,7,1.9525,1.4875
sky130_fd_sc_hd__a2111oi_1,8,1.4325,1.4875
sky130_fd_sc_hd__a2111oi_1,9,0.9375,1.4875
sky130_fd_sc_hd__a221o_4,0,6.8975,0.2375
sky130_fd_sc_hd__a221o_4,1,6.4775,0.2375
sky130_fd_sc_hd__a221o_4,2,5.5375,0.2375
sky130_fd_sc_hd__a221o_4,3,5.1175,0.2375
sky130_fd_sc_hd__a221o_4,4,4.6975,0.2375
sky130_fd_sc_hd__a221o_4,5,4.2775,0.2375
sky130_fd_sc_hd__a221o_4,6,3.8575,0.2375
sky130_fd_sc_hd__a221o_4,7,3.4375,0.2375
sky130_fd_sc_hd__a221o_4,8,2.4975,0.2375
sky130_fd_sc_hd__a221o_4,9,2.0775,0.2375
sky130_fd_sc_hd__a221o_4,10,1.6575,0.2375
sky130_fd_sc_hd__a221o_4,11,1.2375,0.2375
sky130_fd_sc_hd__a221o_4,12,0.8175,0.2375
sky130_fd_sc_hd__a221o_4,13,0.3975,0.2375
sky130_fd_sc_hd__a221o_4,14,6.8075,1.4875
sky130_fd_sc_hd__a221o_4,15,6.3875,1.4875
sky130_fd_sc_hd__a221o_4,16,5.5475,1.4875
sky130_fd_sc_hd__a221o_4,17,5.1275,1.4875
sky130_fd_sc_hd__a221o_4,18,4.7075,1.4875
sky130_fd_sc_hd__a221o_4,19,4.2875,1.4875
sky130_fd_sc_hd__a221o_4,20,3.3425,1.4875
sky130_fd_sc_hd__a221o_4,21,2.9175,1.4875
sky130_fd_sc_hd__a221o_4,22,2.4975,1.4875
sky130_fd_sc_hd__a221o_4,23,2.0775,1.4875
sky130_fd_sc_hd__a221o_4,24,1.6575,1.4875
sky130_fd_sc_hd__a221o_4,25,1.2375,1.4875
sky130_fd_sc_hd__a221o_4,26,0.8175,1.4875
sky130_fd_sc_hd__a221o_4,27,0.3975,1.4875
sky130_fd_sc_hd__a311oi_2,0,4.9775,0.2375
sky130_fd_sc_hd__a311oi_2,1,4.5575,0.2375
sky130_fd_sc_hd__a311oi_2,2,3.8875,0.2375
sky130_fd_sc_hd__a311oi_2,3,3.4675,0.2375
sky130_fd_sc_hd__a311oi_2,4,3.0175,0.2375
sky130_fd_sc_hd__a311oi_2,5,2.5975,0.2375
sky130_fd_sc_hd__a311oi_2,6,1.6575,0.2375
sky130_fd_sc_hd__a311oi_2,7,1.2375,0.2375
sky130_fd_sc_hd__a311oi_2,8,0.8175,0.2375
sky130_fd_sc_hd__a311oi_2,9,0.3975,0.2375
sky130_fd_sc_hd__a311oi_2,10,4.9775,1.4875
sky130_fd_sc_hd__a311oi_2,11,4.5575,1.4875
sky130_fd_sc_hd__a311oi_2,12,3.8875,1.4875
sky130_fd_sc_hd__a311oi_2,13,3.4675,1.4875
sky130_fd_sc_hd__a311oi_2,14,2.5275,1.4875
sky130_fd_sc_hd__a311oi_2,15,2.1075,1.4875
sky130_fd_sc_hd__a311oi_2,16,1.6675,1.4875
sky130_fd_sc_hd__a311oi_2,17,1.2375,1.4875
sky130_fd_sc_hd__a311oi_2,18,0.8175,1.4875
sky130_fd_sc_hd__a311oi_2,19,0.3975,1.4875
sky130_fd_sc_hd__and2_2,0,2.0875,0.2375
sky130_fd_sc_hd__and2_2,1,1.5475,0.2375
sky130_fd_sc_hd__and2_2,2,1.0075,0.3775
sky130_fd_sc_hd__and2_2,3,0.5875,0.3775
sky130_fd_sc_hd__and2_2,4,2.0875,1.4875
sky130_fd_sc_hd__and2_2,5,1.5475,1.4875
sky130_fd_sc_hd__and2_2,6,1.0075,1.8575
sky130_fd_sc_hd__and2_2,7,0.5875,1.8575
sky130_fd_sc_hd__decap_8,0,0.3975,0.2375
sky130_fd_sc_hd__decap_8,1,0.3975,1.6175
sky130_fd_sc_hd__dfrtp_1,0,8.6575,0.2375
sky130_fd_sc_hd__dfrtp_1,1,7.6175,0.2375
sky130_fd_sc_hd__dfrtp_1,2,7.1625,0.2375
sky130_fd_sc_hd__dfrtp_1,3,6.4175,0.2375
sky130_fd_sc_hd__dfrtp_1,4,5.9375,0.2375
sky130_fd_sc_hd__dfrtp_1,5,5.3925,0.2375
sky130_fd_sc_hd__dfrtp_1,6,8.6575,1.4875
sky130_fd_sc_hd__dfrtp_1,7,4.8975,0.2375
sky130_fd_sc_hd__dfrtp_1,8,4.2375,0.2375
sky130_fd_sc_hd__dfrtp_1,9,3.8775,0.2375
sky130_fd_sc_hd__dfrtp_1,10,3.0475,0.2375
sky130_fd_sc_hd__dfrtp_1,11,2.5675,0.2375
sky130_fd_sc_hd__dfrtp_1,12,7.5825,2.0675
sky130_fd_sc_hd__dfrtp_1,13,7.1625,2.0675
sky130_fd_sc_hd__dfrtp_1,14,6.6225,2.0675
sky130_fd_sc_hd__dfrtp_1,15,6.2025,2.0675
sky130_fd_sc_hd__dfrtp_1,16,5.7725,2.0675
sky130_fd_sc_hd__dfrtp_1,17,5.2775,1.6475
sky130_fd_sc_hd__dfrtp_1,18,2.0925,0.2375
sky130_fd_sc_hd__dfrtp_1,19,0.8175,0.2375
sky130_fd_sc_hd__dfrtp_1,20,0.3975,0.2375
sky130_fd_sc_hd__dfrtp_1,21,4.2925,2.0675
sky130_fd_sc_hd__dfrtp_1,22,3.8075,2.0675
sky130_fd_sc_hd__dfrtp_1,23,3.1075,2.0675
sky130_fd_sc_hd__dfrtp_1,24,2.6125,2.0675
sky130_fd_sc_hd__dfrtp_1,25,2.1525,2.0675
sky130_fd_sc_hd__dfrtp_1,26,0.8175,1.8175
sky130_fd_sc_hd__dfrtp_1,27,0.3975,1.8175
sky130_fd_sc_hd__dfxbp_1,0,8.1975,0.2375
sky130_fd_sc_hd__dfxbp_1,1,7.7225,0.2375
sky130_fd_sc_hd__dfxbp_1,2,6.7825,0.2375
sky130_fd_sc_hd__dfxbp_1,3,6.3625,0.2375
sky130_fd_sc_hd__dfxbp_1,4,5.4125,0.2375
sky130_fd_sc_hd__dfxbp_1,5,4.9375,0.2375
sky130_fd_sc_hd__dfxbp_1,6,4.4075,0.2375
sky130_fd_sc_hd__dfxbp_1,7,8.1975,1.4875
sky130_fd_sc_hd__dfxbp_1,8,7.7125,1.8475
sky130_fd_sc_hd__dfxbp_1,9,6.7725,1.4875
sky130_fd_sc_hd__dfxbp_1,10,6.3525,1.4875
sky130_fd_sc_hd__dfxbp_1,11,3.9025,0.2375
sky130_fd_sc_hd__dfxbp_1,12,3.3075,0.2375
sky130_fd_sc_hd__dfxbp_1,13,2.8125,0.2375
sky130_fd_sc_hd__dfxbp_1,14,2.3175,0.2375
sky130_fd_sc_hd__dfxbp_1,15,5.2975,2.0675
sky130_fd_sc_hd__dfxbp_1,16,4.7275,2.0675
sky130_fd_sc_hd__dfxbp_1,17,4.3075,2.0675
sky130_fd_sc_hd__dfxbp_1,18,3.8325,1.7375
sky130_fd_sc_hd__dfxbp_1,19,1.7575,0.2375
sky130_fd_sc_hd__dfxbp_1,20,0.8175,0.2375
sky130_fd_sc_hd__dfxbp_1,21,0.3975,0.2375
sky130_fd_sc_hd__dfxbp_1,22,3.1725,2.0675
sky130_fd_sc_hd__dfxbp_1,23,2.6575,2.0675
sky130_fd_sc_hd__dfxbp_1,24,2.1825,2.0675
sky130_fd_sc_hd__dfxbp_1,25,1.7575,2.0675
sky130_fd_sc_hd__dfxbp_1,26,0.8175,1.8175
sky130_fd_sc_hd__dfxbp_1,27,0.3975,1.8175
sky130_fd_sc_hd__dlclkp_1,0,5.8975,0.2375
sky130_fd_sc_hd__dlclkp_1,1,5.4225,0.2375
sky130_fd_sc_hd__dlclkp_1,2,5.0625,0.2375
sky130_fd_sc_hd__dlclkp_1,3,4.1225,0.2375
sky130_fd_sc_hd__dlclkp_1,4,3.5825,0.2375
sky130_fd_sc_hd__dlclkp_1,5,3.1075,0.2375
sky130_fd_sc_hd__dlclkp_1,6,5.8975,1.4875
sky130_fd_sc_hd__dlclkp_1,7,5.4225,1.8475
sky130_fd_sc_hd__dlclkp_1,8,4.6375,1.8475
sky130_fd_sc_hd__dlclkp_1,9,4.1625,1.4875
sky130_fd_sc_hd__dlclkp_1,10,2.3825,0.3325
sky130_fd_sc_hd__dlclkp_1,11,1.8325,0.5975
sky130_fd_sc_hd__dlclkp_1,12,0.8175,0.2375
sky130_fd_sc_hd__dlclkp_1,13,0.3975,0.2375
sky130_fd_sc_hd__dlclkp_1,14,3.2125,2.0675
sky130_fd_sc_hd__dlclkp_1,15,2.8525,2.0675
sky130_fd_sc_hd__dlclkp_1,16,2.2325,2.0675
sky130_fd_sc_hd__dlclkp_1,17,1.7575,1.8475
sky130_fd_sc_hd__dlclkp_1,18,0.8175,1.8175
sky130_fd_sc_hd__dlclkp_1,19,0.3975,1.8175
sky130_fd_sc_hd__dlrbp_1,0,7.2775,0.2375
sky130_fd_sc_hd__dlrbp_1,1,6.8025,0.2375
sky130_fd_sc_hd__dlrbp_1,2,5.8625,0.2375
sky130_fd_sc_hd__dlrbp_1,3,5.0025,0.2375
sky130_fd_sc_hd__dlrbp_1,4,4.5575,0.2375
sky130_fd_sc_hd__dlrbp_1,5,3.6175,0.2375
sky130_fd_sc_hd__dlrbp_1,6,3.1425,0.2375
sky130_fd_sc_hd__dlrbp_1,7,2.6525,0.2375
sky130_fd_sc_hd__dlrbp_1,8,7.2775,1.4875
sky130_fd_sc_hd__dlrbp_1,9,6.8025,1.8475
sky130_fd_sc_hd__dlrbp_1,10,5.8625,1.4875
sky130_fd_sc_hd__dlrbp_1,11,5.0025,1.4875
sky130_fd_sc_hd__dlrbp_1,12,4.5425,1.4875
sky130_fd_sc_hd__dlrbp_1,13,2.1775,0.2375
sky130_fd_sc_hd__dlrbp_1,14,1.7575,0.2375
sky130_fd_sc_hd__dlrbp_1,15,0.8175,0.2375
sky130_fd_sc_hd__dlrbp_1,16,0.3975,0.2375
sky130_fd_sc_hd__dlrbp_1,17,3.5575,2.0675
sky130_fd_sc_hd__dlrbp_1,18,3.0775,2.0675
sky130_fd_sc_hd__dlrbp_1,19,2.6575,2.0675
sky130_fd_sc_hd__dlrbp_1,20,2.1775,1.8475
sky130_fd_sc_hd__dlrbp_1,21,1.7575,1.8475
sky130_fd_sc_hd__dlrbp_1,22,0.8175,1.8175
sky130_fd_sc_hd__dlrbp_1,23,0.3975,1.8175
sky130_fd_sc_hd__o221ai_4,0,8.9975,0.2375
sky130_fd_sc_hd__o221ai_4,1,8.5775,0.2375
sky130_fd_sc_hd__o221ai_4,2,8.1575,0.2375
sky130_fd_sc_hd__o221ai_4,3,7.7375,0.2375
sky130_fd_sc_hd__o221ai_4,4,7.3175,0.2375
sky130_fd_sc_hd__o221ai_4,5,6.8975,0.2375
sky130_fd_sc_hd__o221ai_4,6,6.4775,0.2375
sky130_fd_sc_hd__o221ai_4,7,6.0575,0.2375
sky130_fd_sc_hd__o221ai_4,8,5.5575,0.2375
sky130_fd_sc_hd__o221ai_4,9,5.1375,0.2375
sky130_fd_sc_hd__o221ai_4,10,4.7175,0.2375
sky130_fd_sc_hd__o221ai_4,11,4.2975,0.2375
sky130_fd_sc_hd__o221ai_4,12,3.8775,0.2375
sky130_fd_sc_hd__o221ai_4,13,3.4575,0.2375
sky130_fd_sc_hd__o221ai_4,14,3.0375,0.2375
sky130_fd_sc_hd__o221ai_4,15,2.6175,0.2375
sky130_fd_sc_hd__o221ai_4,16,1.6775,0.2375
sky130_fd_sc_hd__o221ai_4,17,1.2575,0.2375
sky130_fd_sc_hd__o221ai_4,18,0.8375,0.2375
sky130_fd_sc_hd__o221ai_4,19,0.4175,0.2375
sky130_fd_sc_hd__o221ai_4,20,8.9975,1.4875
sky130_fd_sc_hd__o221ai_4,21,8.5775,1.4875
sky130_fd_sc_hd__o221ai_4,22,8.1575,1.4875
sky130_fd_sc_hd__o221ai_4,23,7.7375,1.4875
sky130_fd_sc_hd__o221ai_4,24,7.3175,1.4875
sky130_fd_sc_hd__o221ai_4,25,6.8975,1.4875
sky130_fd_sc_hd__o221ai_4,26,6.4775,1.4875
sky130_fd_sc_hd__o221ai_4,27,6.0575,1.4875
sky130_fd_sc_hd__o221ai_4,28,5.5575,1.4875
sky130_fd_sc_hd__o221ai_4,29,5.1375,1.4875
sky130_fd_sc_hd__o221ai_4,30,4.7175,1.4875
sky130_fd_sc_hd__o221ai_4,31,4.2975,1.4875
sky130_fd_sc_hd__o221ai_4,32,3.8775,1.4875
sky130_fd_sc_hd__o221ai_4,33,3.4575,1.4875
sky130_fd_sc_hd__o221ai_4,34,3.0375,1.4875
sky130_fd_sc_hd__o221ai_4,35,2.6175,1.4875
sky130_fd_sc_hd__o221ai_4,36,1.6775,1.4875
sky130_fd_sc_hd__o221ai_4,37,1.2575,1.4875
sky130_fd_sc_hd__o221ai_4,38,0.8375,1.4875
sky130_fd_sc_hd__o221ai_4,39,0.4175,1.4875
